protein_name,short_name,gene_symbol,gene_ID,accession,pfam_ID,identifier,method,resolution,chain,sequence_length,positions
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XT7,EM,4.2 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/P/T/V/W/m/n/q/r/u/v/x/a/e/b/f/c/g/d/h/j/k,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XTD,EM,3.9 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/P/T/V/W/m/n/q/r/u/v/x/a/e/b/f/c/g/d/h/j/k,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XTI,EM,3.9 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/P/T/V/W/m/n/q/r/u/v/x/a/e/b/f/g/h/j/k,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XVL,X-ray,3.506 Å,A/E/K/O/U/Y/e/i/B/F/L/P/V/Z/f/j/C/G/M/Q/W/a/g/k/D/H/N/R/X/b/h/l/I/S/c/m/J/T/d/n/o,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XVM,X-ray,2.84 Å,A/E/K/O/B/F/L/P/C/G/M/Q/D/H/N/R/I/S/J/T/U/V,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XX5,X-ray,3.19 Å,A/E/K/O/B/F/L/P/C/G/M/Q/D/H/N/R/I/S/J/T/U,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XX6,X-ray,3.39 Å,A/E/K/O/U/Y/e/i/B/F/L/P/V/Z/f/j/C/G/M/Q/W/a/g/k/D/H/N/R/X/b/h/l/I/S/c/m/J/T/d/n/o/p,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XZX,EM,4.53 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XZY,EM,3.97 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7XZZ,EM,4.07 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y00,EM,3.96 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y5U,EM,3.8 Å,A/D/E/C/B,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y5V,EM,6.1 Å,A/F/D/I/E/J/C/H/B/G,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y5W,EM,3.5 Å,A/C/E/G/B/D/F/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y60,EM,3.8 Å,A/C/E/G/B/D/F/H/I/J/K/L,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y61,EM,5.6 Å,A/C/E/G/B/D/F/H/I/J/K/M/L/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y7I,EM,3.42 Å,A/E/B/F/C/G/D/H/I/J/K/L,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7Y8R,EM,4.4 Å,A/E/B/F/C/G/D/H/Z/I/J/K/L/M/N/O/a/P/Q/R/S/T/U/V/X/Y/W,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7YOZ,EM,4.3 Å,A/C/E/G/B/D/F/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7YQK,EM,3.38 Å,A/E/B/F/C/G/D/H/I/J/O/K/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7YRD,EM,3.2 Å,A/E/B/F/I/J/C/G/D/H/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7YWX,EM,12.0 Å,H/I/K/L/M/N/O/Q/U/P/R/T/W/S/X/i/J/A/E/B/F/C/G/D/V/a/b,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7YYH,EM,8.9 Å,A/E/B/F/C/G/D/h/H/I/J/K/L/M/N/O/P/Q/R/U/k/l/i,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,7ZI4,EM,3.2 Å,A/C/E/B/D/F/G/J/N/R/H/Q/I/M/K/O/L/P/X/Y,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8AAG,EM,10.0 Å,I/J/Z/A/E/B/F/C/G/D/H,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8ATF,EM,3.45 Å,G/H/K/L/M/Q/N/R/O/S/P/T,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8AV6,EM,4.68 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/Q/N/R/O/S/P/T,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8B5A,X-ray,1.92 Å,A/B,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8B5B,X-ray,1.92 Å,A/B/C/D/E,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8B5C,X-ray,1.58 Å,A/B,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8DK5,EM,2.71 Å,A/E/B/F/C/G/D/H/K/N/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8EVG,EM,2.75 Å,A/E/B/F/C/G/D/H/I/J/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8EVH,EM,2.85 Å,A/E/B/F/C/G/D/H/I/J/M/N/O,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8EVI,EM,2.64 Å,J/I/A/E/B/F/C/D/H/G/M/N/O,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8EVJ,EM,4.1 Å,J/I/A/E/B/F/C/G/D/H/M/N/O,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8GRM,EM,3.05 Å,A/E/B/F/C/G/D/H/M/N/I/J/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8GRQ,EM,3.87 Å,A/E/B/F/C/G/D/H/I/J/K/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8GUI,EM,2.81 Å,A/E/B/F/C/G/D/H/I/J/K/L,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8GUJ,EM,2.8 Å,A/E/B/F/C/G/D/H/I/J/K/L,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8GUK,EM,2.51 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8H0V,EM,3.8 Å,A/B/C/D/E/F/G/H/I/J/K/L/P/T/N/a/e/b/f/c/g/d/h/u,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8H0W,EM,4.6 Å,A/B/C/D/E/F/G/H/I/J/K/L/P/T/N/a/e/b/f/c/g/d/h/u,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8H1T,EM,3.0 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAG,EM,3.2 Å,A/E/B/F/C/G/D/H/K/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAH,EM,3.9 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAI,EM,4.7 Å,A/E/B/F/C/G/D/H/K/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAJ,EM,4.8 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAK,EM,4.5 Å,A/E/B/F/C/G/D/H/J/K/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAL,EM,4.4 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAM,EM,4.5 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HAN,EM,4.2 Å,A/E/B/F/C/G/D/H/K/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HE5,EM,6.95 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/O/P/T/a/e/b/f/c/g/d/h,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HLW,X-ray,2.5 Å,A/B,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HQY,EM,3.05 Å,A/E/B/C/D/H/F/G/S/U/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8HR1,EM,3.02 Å,A/E/B/F/C/G/D/H/S/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8IEG,EM,3.44 Å,E/K/F/L/C/G/D/H/I/J/A/B/R,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8IEJ,EM,3.12 Å,C/G/D/E/K/F/L/H/I/J/A/M/R,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8IHL,EM,7.64 Å,A/E/K/M/Q/U/B/F/L/N/R/V/C/G/O/S/D/H/P/T/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8IQF,EM,4.6 Å,A/F/D/I/E/J/C/H/B/G,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8IQG,EM,3.5 Å,A/D/E/C/B,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8J6S,EM,3.8 Å,A/C/E/G/B/D/F/H/I/J/L/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8J6T,EM,6.6 Å,A/C/E/G/B/D/F/H/I/J/K/M/L/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JBX,EM,3.35 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JCC,EM,3.42 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JCD,EM,3.14 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JH2,EM,5.7 Å,0/1/A/B/C/D/E/F/G/H/I/J/K/L/M/N/P/T/V/W/a/e/b/f/c/g/d/h,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JH3,EM,3.7 Å,A/B/C/D/E/F/G/H/I/J/K/L/N/P/T/a/e/b/f/c/g/d/h,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JH4,EM,3.2 Å,A/B/C/D/E/F/G/H/I/J/K/L/N/P/T/a/e/b/f/c/g/d/h,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JHF,EM,3.68 Å,K/A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JHG,EM,3.58 Å,K/A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JL9,EM,2.65 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JLA,EM,3.44 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JLB,EM,2.36 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JLD,EM,2.48 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JND,EM,3.66 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N/O/P/Q/R/S,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JNE,EM,4.68 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N/O/P/Q/R/S/T,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8JNF,EM,6.91 Å,A/E/B/F/C/G/D/H/I/J/K/L/M/N/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8KB5,EM,2.26133 Å,A/E/B/F/C/G/D/H/I/J,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8KCY,EM,2.8 Å,A/E/B/F/C/G/D/H/I/J/K/L,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8KD1,EM,3.2 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8KE0,EM,4.0 Å,A/E/B/F/C/G/D/H/I/J/K,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OFF,EM,3.4 Å,I/J/Ca/Cb/Ba/Bb/Aa/Ab/Da/Db/Ea/Eb/Fa,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OL1,EM,3.5 Å,A/E/B/F/C/D/G/H/I/J/K/L/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OO7,EM,2.8 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/Q/N/R/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OOA,EM,3.18 Å,K/L/M/Q/N/R/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OOP,EM,2.7 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/Q/N/R/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OOS,EM,3.29 Å,G/K/L/M/Q/N/R/O/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OSJ,EM,6.2 Å,A/E/B/F/C/G/D/H/I/J/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OSK,EM,3.6 Å,A/E/B/F/C/G/D/H/I/J/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OSL,EM,4.9 Å,A/E/B/F/C/G/D/H/I/J/M/O/N/P,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OTS,EM,3.3 Å,A/E/B/F/C/G/D/H/I/J/K/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OTT,EM,3.3 Å,A/E/B/F/C/D/H/G/I/J/M/N,103,1-103
Histone H4,N/A,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,ENST00000244537.6,P62805,PF15511,8OX0,EM,2.52 Å,A/E/B/F/C/G/D/H/J/I,103,1-103
